ID,Title,Date,Tags,Goal Amount,Amount Raised,Difference,Success,Difference,Donors,Shares,Followers,Description
344,Dalton Bright - College Internship Program,"Created July 6, 2020",Education & Learning,90000,66250,-23750,0,0,125,650,88,"Dalton summed it up by stating ‰ÛÏI want to learn how to live life.‰Û�Dalton was a perfectly healthy 5-year-old just starting kindergarten when he had a sudden onset of uncontrollable seizures. He was having up to 100 per day and was put in a medically induced coma until the doctors at Riley could figure out what to do. Finally, after 3 weeks, he had a right frontal lobectomy ‰ÛÒ removing the right frontal quadrant of his brain. The doctors were not sure the surgery would be successful, and it was the first surgery of its kind. The surgery was successful - he has not had any seizures since surgery - but it did leave him with many challenges. He is a bright young man, but his shine is hard to see due to the lack of executive functioning skills. He excels in math and science and loves to play chess, card games (pretty much wins every time!), enjoys nature (has been a beekeeper), and of course video games! Most people do not have to think about their executive functions‰Û_.they are just a part of everyday life. Getting up in the morning, having breakfast, and getting ready for the day are just routine. For Dalton, these daily routines require many steps, guidance, and skills he does not have.Dalton has graduated from Fortune Academy, a school for children with learning differences, with a Core-40 diploma. We have been searching for a college program that can meet his needs. He is now 20 years old. We have looked into colleges that provide high levels of academic support but they do not provide the independent living and life skills which Dalton needs in order to be successful in college. We have also looked at assisted living/group home programs, but they tend to provide aid with daily living but do not provide education and/or career assistance. So, we are at a standstill. We finally found the College Internship Program in Bloomington, Indiana.åÊ CIP helps young adults with Autism, ADHD and other learning differences who are transitioning from high school into adulthood.åÊ CIP provides an individualized college academic path and/or career support and advisement, social skills development, and executive functioning for life skills. Students live in apartments and have daily life skill coaches to work on the daily executive function tasks like grocery shopping, cooking, personal organization, planning, cleaning, and laundry.åÊ åÊAs they are learning life and social skills, they are also meeting with onsite advisors and counselors to work on future educational or career goals.åÊ Depending on the goal, students can enroll in courses with support at Ivy Tech or IU.åÊ åÊAdditionally, CIP partners with many local businesses to find an area in the students‰Ûª interest and ultimately helps them work toward their personal goals.Our next hurdle is to raise enough money to allow Dalton the opportunity to attend CIP.We have a donor that will match up to $40,000åÊ towards the $90,000/year needed to put Dalton through the CIP program.åÊ If you would like to support Dalton, pledges of any amount will help get him one step closer to CIP.Thanks so much for your support.Read more"
345,Leigh Sundem Memorial Scholarship Fund,"Created April 19, 2020",Education & Learning,75000,62154,-12846,0,0,774,15000,418,"Leigh Sundem, MD, was one of the most gifted, driven, inspiring, and authentic individuals to ever graduate from Georgia Southern University. Her story is one of incredible resilience, dedication, and compassion. It was Leigh's wish that her family and friends find a way to honor her death, and be truthful about her life--a life defined by overcoming addiction, and breaking away the stigmas associated with it by becoming a physician. By establishing this fund in her memory, our goal is to continue her unwavering efforts to change the perception of persons in recovery by sharing her story, just as she did throughout her own 13 years of recovery.åÊOur intention is for the memorial funds to go to individuals in recovery from addiction who attend Georgia Southern University and who are pursuing degrees in any health-related discipline or STEM field. This GoFundMe page will serve as a temporary fundraising space in hopes that we can raise a high enough sum for a permanent endowment at Georgia Southern University in Leigh's name.Please consider giving any amount you are able--as little or as great as that might be. If her story is shared far and wide just a small donation will go a long way to helping the next student carry out her legacy of breaking down barriers often tied to those in addiction recovery.åÊåÊDonations will be mailed to the GSU Foundation through PayPal, Inc, earmarked in memory of Leigh to benefit students. åÊOur minimum goal is $30,000, but we could make a much bigger difference in the lives of students with a $50,000 endowment.On April 14th, 2020, our dear friend Leigh Sundem took her own life when she succumbed to the pain of falling short of her dreams which she worked tirelessly for, and deserved on her merits alone. Everyone who knew this ambitious woman who overcame countless obstacles has been left with overwhelming grief and confusion.Leigh's struggle with alcoholism and drug addiction began in middle school when she started drinking to escape her feelings of depression and anxiety. It progressed quickly, and in a few short years she experienced swift consequences for her regular drug use when she spent her 16th birthday in a juvenile detention facility. Over the next few years, Leigh was in and out of the legal system while continuing to battle her addiction. This portion of her story is best told in her own words, which can be heard here when she fearlessly advocated for others in recovery in front of Congress ten years ago. https://www.c-span.org/person/?leighsundemIn 2007 while on parole, she rear-ended a Georgia State Patrol officer at a red light. She was given a choice to complete her 7-year prison sentence, or to enter a long-term treatment facility. This moment became the catalyst for her journey to recovery. She chose to go to Statesboro, Georgia where she spent over two years in an intensive addiction treatment program. While working at minimum-wage food service jobs to help pay for treatment, she began to realize her incredible potential and she began to dream. She dreamt of ways that she could give back to people in need. Early in recovery, she decided to pursue a medical degree and help as many people as possible along the way. With her goal in mind, she became dedicated to overcoming and rectifying her mistakes as a teen and young adult.åÊShe realized that to be successful she would need to build a support system and a network of accountability. With these as a foundation, she hoped to demonstrate that investing in a person who has recovered from a substance-use disorder is not a liability, but an asset. During that time, she became an outspoken advocate and ally for those fighting addiction. From 2008-2012, she became a member of the founding class of students in Georgia Southern's Center for Addiction Recovery (CAR). At that time, there were only a handful of programs like it in the country. One of the Center‰Ûªs primary missions is to help students like Leigh have an opportunity to obtain a college degree with resources to assure relapse-prevention and academic success. College life has been described by many scholars as an abstinence-hostile environment, and the CAR program was exactly the support program she needed to overcome the unique challenges that she would face.With this newfound motivation and determination, and with the support of her recovery networks, she became one of the most well-known graduates from the Department of Chemistry and Biochemistry. Leigh graduated in 2012 summa cum laude from the University Honors program at Georgia Southern University. She scored in the 99th percentile on her Medical College Admissions Test (MCAT), one of the highest scores ever reached at the University. She immediately entered The University of Rochester School of Medicine to pursue a medical degree with the eventual goal of becoming an orthopedic surgeon. By the time she graduated from her program, Leigh also became recognized as an outstanding researcher. She was awarded multiple research awards and fellowships during her tenure at the University of Rochester (for brief overview, click here: https://www.linkedin.com/in/leighsundem).When it came time to match with a residency, Leigh had done everything possible to reach her dream. She had always been open and honest about her journey to recovery, she exemplified how her past was an asset and not a liability, and she participated in a voluntary monitoring program for 12 years to prove that she was serious about her recovery. However, many programs were unwilling to admit anyone with a criminal record involving drugs and alcohol. Leigh was devastated when she failed to match into any orthopedic surgery programs. Never complacent, she quickly found a surgical preliminary position at Rutgers University and began working towards securing a residency in Emergency Medicine the next year.When the second year of matching came, Leigh again felt confident that she would match with a program. Her time at Rutgers had resulted in further accomplishments and accolades. She now garnered new skills, exceptional recommendations, and a growing network of peers and professionals willing to advocate for her. During this time she was also asked to write about her years of volunteering and her persistent work with those struggling with substance-use disorders. While she seemed like an obvious asset for most programs combating the opioid epidemic, she did not match into any Emergency Medicine programs.åÊOver the next year, Leigh tried to remain optimistic, but began expressing regret at having missed out on so many milestones her friends were experiencing (careers, marriages, babies). She found herself feeling increasingly isolated as she struggled to maintain her closest relationships due to her demanding schedule. And yet she still supported her friends as much as she could. When she showed up, she brought joy and encouragement. She also continued to share her story of recovery whenever speaking engagements allowed. As she tried to balance her career, family and friends, and being a resource for others in need, she was also planning out her next move. In March of 2020, after again failing to match for the third year into a residency program, she was completely devastated. In Leigh's eyes, she would never secure a job in medicine at the level she aspired. After dedicating her life to recovery from addiction and to the field of medicine, this last rejection left her hopeless.Leigh'såÊpresence was larger than life and has left an emptiness in the hearts of those she left behind. åÊShe was a woman who never shied away from the truth of who she was and stood tall as the woman she had become--not the girl who made mistakes as a child. Most incredible of all was that she never turned down an opportunity to help anyone who needed hope that there was life after addiction.Leigh was an amazing daughter, sister, friend, and colleague. We will forever remember her bold friendship, the late night conversations, the car ride sing-a-longs, the lectures, the brash honesty, our study buddy, and her incredibly resilient spirit. She was the best of us, and we hope that you have been moved by her story and will consider donating to support the dreams of the young people who will come after her to stand on the shoulders of our beloved trailblazer.In conversations, Leigh often ended with ""Love you, mean it"".So, from Leigh's Team,We Love You, Mean it!An excerpt of Leigh's story, which she and others shared in jails and prisons all over the country:""If you work hard and stay focused on what you're passionate about there is a life waiting for you outside these walls that will be bigger and better than you ever could have imagined on your own. Never give up hope. When you're finally released, apply the same work ethic, the same focus, and the same passion into everything you do""-Leigh SundemåÊMemorials may also be given in honor of Leigh Sundem by check to:åÊGeorgia Southern University Foundation, Inc.(Memo line:åÊ GS0798 earmarked: Leigh Sundem Memorial Scholarship Fund)Po Box 8053Statesboro,åÊGAåÊ30460Read more"
346,Menlo-Atherton Cooperative Nursery School,"Created September 15, 2020",Education & Learning,65000,65000,0,0,0,87,21,74,"Dear wonderful Co-op Community,We need your help! Sadly, the current pandemic makes it impossible toåÊthrow ouråÊsuper fabulous and feel-goodåÊannualåÊauction fundraiser this year. Not only does the traditional auction party gather all of us grownups for a special night of drinks and dancing together; it is also the Co-op's only fundraiser of the year. The school relies on the auction to earn about twenty five percent of its operating budget.We are asking families to please make a contribution to our GoFundMe account to keep our wonderful little school afloat. I know we are all grateful for the precious days our preschoolers are able to explore and build their friendships as they spin on theåÊtire swing and dig in the sandbox. The funds raised from your critical donations will bridge the gap between tuition and what it actually costs to restock the paint closet, maintain our play yard, and pay our tireless teachers.The Menlo-Atherton Cooperative Nursery School is a very special place and it needs our support. Let's ensure that our children can continue to grow, develop, and PLAY at the Co-op!Read more"
347,Brittany's Tomorrow Fund for Brianna & David II,"Created September 22, 2020",Education & Learning,50000,61038,11038,1,0,255,1400,157,"This is our beloved Brittany who departed this earth much too soon.åÊ Brittany's work family at Greystar (by Senior Managing Director, Savanna Bogardus) is spearheading a fundraiser to provide for a scholarship account for Brittany's children, Brianna and David II.åÊ Brianna and David II are the beneficiaries of the Edward Jones account that has been set up exclusively for this fundraiser.åÊ It is our hope to provide for their future, as Brittany would have wanted.åÊ All the proceeds will go directly into this education fund.åÊ Brittany was an exceptional mother, colleague, friend, mentor and she was loved by everyone that knew her.åÊ Brittany brought sunshine and positivity to every moment when you were around her.åÊ She poured her heart and soul into her children, Brianna and David.åÊ She was a genuine friend and she was able to see the best in any situation.åÊ She was an amazing leader who touched so many team members in our region and friends within the apartment industry.åÊ We ask that you donate generously and keep her family in your thoughts.åÊåÊRead more"
348,DONATIONS FOR WAVE OF HOPE REFUGEE SCHOOLS,"Created December 4, 2019",Education & Learning,1948,79162,77214,1,40,855,571,855,"THE WAVE OF HOPE FOR THE FUTURE REFUGEESåÊSCHOOLThe Wave of Hope for the Future is a school based in the middle of the Olive Grove, the unofficial camp developed on the olive tree hills surrounding the overcrowded Refugee Camp of Moria on the Isle of Lesbos, Greece.The school was funded a year ago by Mr. Zekria Farzad, a refugee from Afghanistan that arrived in Lesbos with his wife and 5 children in February 2018.Since then the school has greatly expanded and it is now counting over 900 refugee students between the age of 6 and 50 years old.The school offers classes of English, Greek, German, French, Painting and Guitar.The school currently hosts its students insideåÊ3 tents/classrooms,åÊbuilt by the refugees, and counts a team of 27 teachers.With this fundraise we want to build a new tent/classroom to accomodate the refugee students of the painting and guitar classes of the school and to furnish it with art materials and equipment.SOME OF THE T-SHIRTS HAND PAINTED BY OUR YOUNG ARTIST STUDENTSåÊUPDATESTHE TARGET HAS BEEN REACHED !!!! AND THE CLASS IS READY !!!!WE WILL USE ANY ADDITIONAL FUNDS TO BUY EDUCATIONAL MATERIAL FOR OUR STUDENTS AND TO GIVE A SMALL REWARD TO OUR TEAM OF 27 REFUGEE TEACHERS !So far every teacher has done their job on a voluntary basis, teaching everyday Monday to Friday for 2 hours to dozen of students at time... so far we are thanking our teachers with just one bus card every month (10 euros cost) and sometimes when possible buying some telephone credit for their mobile phones.From now on, with your help, we would like to start supporting them and their families sharing with them whatever donations we will receive on this campaign...Here is a picture of our weekly meeting with most of our teachers:THANKS FOR YOUR DONATIONS FOR ART AND EDUCATION!!Read more"
349,Felix Garnett College Fund,"Created February 12, 2020",Education & Learning,50000,60774,10774,1,0,2500,278,1900,"I'm Andrew Rea. I was fortunate enough to meet Emily and Christian Garnett when Emily nominated Christian to be on my show, Being with Babish. I am raising money for their son, Felix Garnett's, college fund. Once we reach our goal, I'll be delivering the funds to the Garnett family.To learn more about Emily & Christian's story, watch my episode on Being with Babish:åÊRead more"
350,UChicago Orthopaedic Surgery Residency,"Created June 23, 2020",Education & Learning,100000,60755,-39245,0,0,27,0,34,"In early May 2020, the President of the University of Chicago announced a series of broad economic policies in response to financial impact of COVID-19 that included suspension ofåÊall discretionaryåÊspending and a reduction in non-personnel spending including supplies, services, and any non-essential academic or educational activities.åÊThese restrictions have a profound impact on our ability to support academic and educational activities for the 2020-2021 academic year and possibly beyond. We have been forced to eliminate funding for a wide range of residency program activities, and are seeking individual donations from friends of the residency program and department to help us maintain our outstanding resident education program during the economic recovery from the COVID-19 pandemic.The COVID Pandemic has affected us all in a variety of ways, from our health to our family lives to our professional lives. Beginning in March, when UCMC shut down to elective surgery, significant changes were made in the Department of Orthopaedic Surgery and Rehabilitation Medicine in response to the pandemic. These changes had åÊhad a huge economic impact on UCMC, the department, and our educational programs.åÊYour generous donation will help provide our residents the educational programming that helps to ensure a robust and well-rounded experience including: åáåÊåÊåÊåÊåÊåÊ Cadavers for use in anatomy teachingåáåÊåÊåÊåÊåÊåÊ Surgical skills lab suppliesåáåÊåÊåÊåÊåÊåÊ Magnification loupes for hand surgery rotationsåÊåáåÊåÊåÊåÊåÊåÊ Resident research presentations at national meetingsåáåÊåÊåÊåÊåÊåÊ Education fund which supports them with items such as test preparation materials, textbooks, journal subscriptions and the purchase of lead apronsåáåÊåÊåÊåÊåÊåÊ Resident attendance at approved courses such as AO Basic Course, Foundation for Orthopaedic Trauma Dissection Course, AAOS Arthroscopy Course, and a board review courseåáåÊåÊåÊåÊåÊåÊ Surgical skills virtual reality simulatoråáåÊåÊåÊåÊåÊåÊ Resident wellness eventsåÊTo learn more about the residents, click here: UChicago Orthopaedic Residency WebsiteåÊåÊYou can also follow the residency on social media:åáåÊåÊåÊåÊåÊåÊ Twitter:åÊ@UChicagoOrtResåÊåáåÊåÊåÊåÊåÊåÊ Instagram: @UChicagoOrthoResidencyåÊåáåÊåÊåÊåÊåÊåÊ Facebook: UChicago Ortho ResidencyåÊåÊFunds raised will be managed and distributed by the Orthopaedic Surgery Residency Education Committee comprised of Residency Program Director, Dr. Tessa Balach; Department Chair, Dr. Douglas Dirschl; and ten additional faculty.Read more"
351,Teresa Webb's Campaign for Ocean Institute,"Created January 29, 2020",Education & Learning,42000,60293,18293,1,0,438,3000,237,"Teresa Lynn Webb dedicated her life to helping others and spreading her love to everyone she encountered. She was the light in so many lives. She was a beloved wife, mother, daughter, aunt, teacher, and friend. Teresa tragically left us on January 26, 2020, but her light will remain with us forever. Teresa's greatest joy in life came from impacting the lives of children. She worked at the Ocean Institute as an instructor and spent her days teaching kids about the amazing wonders of the ocean and our planet. The ocean was her sanctuary.åÊWe have felt the outpour of love and support from so many people. We know she would want to continue to make an impact. Everyone has been asking us what they can do, so we felt that giving to this amazing non-profit is exactly what she would want. In lieu of flowers, please consider making a donation in honor of such a beautiful soul.åÊWe want to thank you for all the love and kind words we have received from so many.We will be missing her forever, rest in paradise Tee.åÊRead more"
352,#DCASTRONG,"Created March 3, 2020",Education & Learning,60000,60050,50,1,0,391,9500,213,"Donelson Christian Academy has suffered significant damage from the Tornado in the early morning of March 3, 2020. åÊWe are praising God that staff and students were not in the building during this tragedy. åÊWe have a long road åÊahead of us and we know that the DCA family is a strong and special one. åÊPlease help us raise funds to get our school back up and running! We love you DCA and we are here for you!I am an alumni of DCA and went there k5-12thgrade and my son has now been there for 3 years. åÊIt is such a wonderful school! åÊWe watched them rebuild after the flood 10 years ago and we åÊknow we will rebuild better than ever after this!åÊ100% of funds raised will be deposited straight into DCA‰Ûªs bank account that will be linked here.Read more"
353,Support Diversity Initiatives in Evolution,"Created June 28, 2020",Education & Learning,50000,59827,9827,1,0,691,1600,371,"Scott EdwardsåÊ (Professor of Biology at Harvard, President of the Society of Systematic Biologists 2006 and Society for the Study of Evolution SSE 2012) is bicycling from Boston to the Pacific Coast: ~3800åÊmiles across the United States. åÊJoin Scott along the way on Twitter (@ScottVEdwards1), as Scott brings hisåÊwisdom, love of birds, and awareness of #BlackLivesMatter across the country. 100% of donations will fund Diversity Initiatives* to support Black and African Americans, Latinx, NativeåÊAmericans/Pacific Islanders, or economically disadvantaged students from the US åÊto participate fully in evolutionary biology and biodiversity sciences.åÊWant to encourage Scott every mile along the way? åÊPledge per mile! åÊWorried about him having to climb theåÊRockies? Pledge to help Scott over the high passes! åÊWant to join Scott in his life-long journey to combatåÊracism and support diversity in science, particularly evolutionary biology? åÊContribute!Scott says, ‰ÛÏAs one of the few African Americans in biodiversity science, I want to make sure our discipline - which has important uses in medicine, agriculture and disease studies-is enriched by contributions from diverse people. By contributing to this effort, you will be strengthening a field of science that will help the US and the world navigate challenging environmental and societal issues.‰Û�If you donate $50 or more, you‰Ûªll receive live updates so you can follow Scott in real time on his epic bike ride.Thanks from Scott Edwards' friends and colleagues!*Funds will be used to support diversity initiatives byåÊthe Society of Systematic Biologists, The American Society of Naturalists, and The Society for the Study of Evolution, such as theåÊUndergraduate Diversity in EvolutionåÊprogram.More information about SSB: Systematic Biology is the study of how biodiversity arose and how species are related to each other and is closely allied with taxonomy, which provides organization to the diversity of life. The Society of Systematic Biologists works to advanceåÊthe science of systematic biologyåÊin all its aspects of theory, principles, methodology, and practice, for both living and fossil organisms, withåÊemphasis on areas of common interest to all systematic biologists regardless of individual specialization.Read more"
354,HELP US COMPLETE OUR TIECM Masjid in Maidenhead,"Created April 15, 2020",Education & Learning,587600,386325,-201275,0,0,372,1400,370,"In the Name of Allah, The Most Beneficient, The Most Merciful. **GIFT AID all your donations**http://www.tiecm.org/1/resources/charity-gift-aid-declaration-formFINAL RAMADHAN 2020 APPEALMultiply your reward this Ramadhan.SADAQAH JARIYA OPPORTUNITY - Everlasting reward when you leave this world.å£21,000 in addition needed due to a further shortfall in åÊpledges (17.5.20)You can find more details about our project and plans on our website:www.legacyforjannah.co.ukHelp build your legacy for Jannah.‰Û�The believer‰Ûªs shade on the Day of Resurrectionwill be his Sadaqah‰Û� (Sunan Ahmad)Al-Tawheed Masjid in Maidenhead embarked on a demolition and rebuild project 15 months ago. We had a target of 1.3m and haveåÊreached the remaining å£44K target this Ramadhan 2020. Alhamdulillah.Due to a shortfall of å£21,000 from pledges not being able to be donated we have increased the target from å£67.5K to å£88.5KOur journey goes back to 2009 when we purchased a property at 22 Cookham Road. We gradually grew and soon ran out of space and facilities. We had no access for the disabled. Our sisters had a very small prayer area with inadequate wudhu space and there was no facilities for children‰Ûªs classes. In 2017 we started our discussions about our future plans and were granted planning permission in 2018. The demolition started in December 2018 with our new build project commencing in February 2019.We have completed the shell structure comprising 5 floors - basement area, men‰Ûªs and women‰Ûªs prayer halls, separate wudhu facilities and disabled facilities, ghusl area, recreational area and gym. Internal work has commenced and is progressing well. We aim to complete the project in the next 4 months in sha Allah.We urgently need your support to raise the final funds to reach our target. Please come forward now. Message/ call or email me if you want more details.Jazaka Allah KhairDr Asif AliChairman TIECMRegistered Charity No. 1160479[email redacted]07946508555Read more"
355,The Birth Revolution,"Created June 9, 2020",Education & Learning,85000,58352,-26648,0,0,643,527,338,"Beyond a Doula Training:We acknowledge that the birth revolution is already here, and has been here. We need a birth worker training that will rise up and join this revolution.BIPOC healers and birth workers have been carrying this movement since it was colonized by western medicine. We recognize that for BIPOC, this work is not something that was ever meant to be monetized and part of a capitalist structure, rather it was and is something that is done to support and take care of community. With this in mind, it is our vision and commitment to create space to learn and unite as birth workers to examine these intersections, work together to decolonize and dismantle white supremacy within this work, and bring our respective communities culturally appropriate care and support. We commit to this endeavor while acknowledging we are living and working on stolen, Indigenous Dakota land.In order to continue to move this work forward with the goals of shattering white supremacy culture and reducing Black infant and perinatal mortality, we are asking that the community invest in it's healers. With these funds we will create accessible trainings, provide free training for BIPOC, and pay our elders and educators a living wage for the knowledge they pour into us all.åÊBe a part of something bigger than all of us. Join the revolution.åÊFor more information see our website at thebirthrevolution.orgåÊWarmly,Nadine Ashby, Founder of The Birth Revolution, CPE, Birth worker, Lactation Educator, Healer.Read more"
356,Moreshet Yerushalayim Needs Your Support,"Created May 19, 2020",Education & Learning,100000,57425,-42575,0,0,174,20,114,"Moreshet Yerushalayim has always been described by its students and alumni as being like a family. At this unfortunate time, that family is in some trouble and we are calling on you to do everything you can to help out. Our goal is not impossible and with help from everyone we can reach it very soon.åÊTizku LMisvot!åÊRead more"
357,"Nyka, Asha and Ella Greywal's College Fund","Created October 30, 2020",Education & Learning,150000,57265,-92735,0,0,219,99,138,"In honour of Arv Greywal,We mourn the sudden loss of beloved and prolific Production Designer Arv Greywal on October 21st. This loss came unexpectedly to his wife Clare, 3 children, and the rest of our community.åÊ He is deeply loved and will be missed by all of us: his friends, his peers, but most importantly his family.Arv was a devoted husband and father of 3 beautiful daughters. He deeply valued education and instilled his values in his children. In loving memory for Arv, we have setup an educational fund for his daughters Nyka, Asha and Ella.This support will ensure his daughters continue their education without financial burden. We appreciate all your loving thoughts and donations."
358,Close The Divide,"Created July 6, 2020",Education & Learning,200000,55878,-144122,0,0,165,205,106,"We have a crisis on our hands. 200,000 Idaho students need computers by August. Due to COVID-19, we have a massive educational challenge looming. Remote learning is the next normal. Help close the digital divide before school begins this fall.åÊYou can help right now!Sponsor a student. Your donation of $350 provides a student with a new Google Chromebook.Sponsor a classroom. A $7,000 donation provides 20 students with Google Chromebooks.You can also close the divide by making a donation to the Idaho Business for Education Internet Fund. We are working with internet providers to offer inexpensive Wi-Fi rates for students. Any amount you can contribute will make a big difference.More information about Idaho Business for Education: Idaho Business for Education (IBE) is a group of 242 business leaders from around the state committed to improving Idaho's public education system so that our state has a skilled workforce for today and tomorrow.Read more"
359,Bri confronts racism across America,"Created June 8, 2020",Education & Learning,10000,55161,45161,1,5,3100,388,2200,"As a black woman educator from NYC, I am moved to activism on behalf of my students and my own son. With the current pandemic, I have not been offered a teaching contract for the ‰Û÷20-‰Û÷21 school year, effectively rendering me unemployed. I am seeking support to visit 5 cities across the United States (Richmond, Virginia, Washington D.C., Minneapolis, MN, Seattle, WA and Houston  Texas to examine racism and it‰Ûªs aftermath in America."
360,Crossan Children College Fund,"Created July 23, 2020",Education & Learning,25000,55015,30015,1,1,193,428,127,"This fundraising page has been created in lieu of flowers and gifts to honor our memory of Chris , who passed away unexpectedly on Monday July 20. It has been created by friends from Thousand Oaks;åÊ Carolyn Beer, Peri Fealy and Janet Wooley.åÊ åÊHis family and children were his number one priority, and all contributions will go directly to Charlene, then deposited into their children's 529 college savings plans."
361,"Providing for Paige, Ashley Van Waard's daughter","Created September 8, 2020",Education & Learning,75000,54885,-20115,0,0,614,1300,325,"Ashley Van Waard, beloved mother, daughter, sister, cousin and friend, passed away suddenly on September 5, 2020. Paige was the pride and joy of Ashley's life. We would like to celebrate Ashley's love for Paige by raising funds for her educational expenses. Paige is a 7th grader at St. Christina and aspires to go to a local private high school.åÊI am Ashley and Paige's cousin, Kelly.åÊ These funds will be spent on Paige's education. John and Peggy Meyer, Ashley's parents, will manage the fund and be the beneficiaries.Read more"
362,Elena Ferretti Education Fund,"Created October 27, 2020",Education & Learning,300000,54825,-245175,0,0,174,437,114,"By now, the news has spread about the untimely and tragic passing of our beloved Elena Ferretti. Anyone who knew Elena was touched by her heart of gold. She spent her days quietly serving and caring for those around her. On the evening of October 20, Elena passed away suddenly and unexpectedly. Elena was in the midst of receiving her very first round of immunotherapy for Chronic Lymphocytic Leukemia (CLL) at Memorial Sloan Kettering Cancer Center when she experienced an unforeseen‰ÛÓand fatal‰ÛÓadverse reaction during her treatment. Elena, a devoted and proud single mother,åÊleaves behind her beautiful and brilliant 15-year-old daughter Elliott. As a dear friend of Elena's, I have started this fundraiser to benefit the person who will undoubtedly miss Elena and her care the most: Elliott. Your financial contributions will help secure funding for Elliott to: åÊ åÊ åÊ åÊ åÊ åÊ åÊ1) finish her high school education at Avenues: The World School in New York City; åÊ åÊ åÊ åÊ åÊ åÊ åÊ2) obtain additional educational support when needed (i.e., test prep, tutoring, classes);åÊ åÊ åÊ åÊ åÊ åÊ åÊ3) participate in school-led educational trips and events both domestically and abroad; åÊ åÊ åÊ åÊ åÊ åÊ åÊ4) procure required school supplies/materials;åÊ åÊ åÊ åÊ åÊ åÊ åÊ5) and ultimately attend a four-year college of her choosing.åÊElena had magnanimous hopes and dreams for her daughter and her family has been blown away by the outpouring of love and support, wondering what can be done to help during this painful time. This fundraiser was created to help ensure that Elliott can continue living the gorgeous life Elena always dreamt of for her. Thank you for coming together to support Elliott and honor Elena. Please kindly respect the family's privacy during this extraordinarily difficult time.It is worth noting, I will be working directly with a lawyer to place all money that is raised in a trust to ensure that it provides sustainable, long-term support for Elliott (the sole beneficiary) and her future education. The trust will cover her educational expenses and needs moving forward as outlined above.Read more"
363,Education Fund for Vincent and Peter Brett,"Created March 12, 2020",Education & Learning,50000,54636,4636,1,0,397,679,213,"On March 11, 2020, the lives of Vincent and Peter Brett were changed forever when their beloved dad Jim passed away suddenly at just 42 years old. In addition to navigating this profound and incomprehensible loss, these two teenage boys, along with their mother Rosalie, need the support of their loving community to ensure that the future Jim was building for them can continue uninterrupted.åÊAll contributions will be placed into college funds for Vincent and Peter."
364,Patrick G. Heaney Memorial Education Fund,"Created September 22, 2020",Education & Learning,75000,54314,-20686,0,0,258,1200,159,"This page is in memoriam of a very special father, brother, uncle, neighbor and friend who passed away suddenly on Sept. 17.åÊ Patrick Heaney was born, grew up and lived in Windsor TerraceåÊhis whole life. Born to Peter and Anna Heaney in 1969, Patrick , together with his six siblings were raised on 16th Street in a house that was filled with love, a deep, strong sense of community and a proud Irish Heritage. åÊHe was thrilled to raise his four children with his wife, Joan, in the very same house instilling in them those same family values. åÊåÊIf you saw Patrick around the neighborhood, he was usually coming or going to the park, where he coached all 4 of his children in theåÊHoly Name Fathers Guild Sports Program. He always wore a smile, wanted to help others, and was generous to all those around him. However, his children were the light of his life, and this fund will be used strictly for the future education of Patrick (19), Maureen (17), Caroline (15), and Peter (12).åÊPatrick attended Holy Name School and was as a life-long active parishioner of Holy Name of Jesus Parish. He graduated from Bishop Ford High School. Patrick was proud of his Irish heritage as he followed his Father‰Ûªs footsteps as a member of Clann Eireann Pipe Band and the Brooklyn Irish American Parade Committee. He proudly marched with his bagpipes and traditional Irish gear. Patrick volunteered and was committed to the annual Christmas Tree Lighting in our Lady's Field on 16th Street. Patrick was a dedicated civil servant working for the New York City Housing Authority and Housing Preservation and Development. Patrick was also a talented woodworker and spent lots of time in the great outdoors while fishing, hunting and swimming with the family.åÊMost of all, Patrick was truly a kind and gentle soul who set a fine example for all to follow. His sudden loss will beåÊgrieved by all who had the honor of knowing him. His love of God, Family and Country will live on through his wonderful children. Please help honor his memory and his family by contributing whatever you can for the future of their education.åÊåÊThank you.Read more"
